level,dataset,model,nll,multiclass_brier,ece,ece_bins
dataset,cho2017,cardinal_fbc_micro,0.6252487697236192,0.40705094041979023,0.12982124042893067,15
dataset,cho2017,cardinal_fbc_micro_extended,0.6293577347705087,0.4058550879611771,0.13078033154113933,15
dataset,cho2017,cardinal_fbc_physical,0.6289840298792408,0.4076738617670219,0.1322619271945113,15
dataset,cho2017,cardinal_fbc_physical_extended,0.6301340917744607,0.4077248719557108,0.13201193478722606,15
dataset,cho2017,eegtcnet,0.6506704045013141,0.4647623175530694,0.058724115068522785,15
dataset,cho2017,fbmsnet,0.6335426986663213,0.4122642064655195,0.12621258501612986,15
dataset,cho2017,cardinal_fbms,0.6327186121864335,0.41205666547435094,0.12649810926807234,15
dataset,cho2017,cardinal_fbms_extended,0.6335009829956609,0.4122865519919691,0.12567291121318555,15
dataset,cho2017,cardinal_mix,0.6206373690691436,0.4237605048366019,0.1263131658318333,15
dataset,cho2017,cardinal_mix_drop,0.5986493391946748,0.40972299768489506,0.11884877592134169,15
dataset,cho2017,ctnet,0.5953686329300314,0.41738367406720944,0.10108219171582888,15
dataset,cho2017,ctnet_compact,0.6124101969339131,0.4333417012323815,0.07168131523655775,15
dataset,cho2017,eegsym,0.6680198800410382,0.47965879508658554,0.03491884363691012,15
dataset,cho2017,eegsym_wide,0.6176312218730905,0.43421289094332016,0.07403963063599973,15
dataset,cho2017,tcformer,0.5463521870567949,0.3710753078412239,0.0785789854730933,15
dataset,physionet_mi,scope,0.9428775458638172,0.6367157224310388,0.276732802322372,15
dataset,physionet_mi,free_scope,0.9006633841355123,0.6108815006007717,0.2650304187570579,15
dataset,physionet_mi,cardinal,0.7384574994642651,0.5188566397000188,0.1976964623986939,15
dataset,physionet_mi,free_cardinal,0.7401554400578988,0.519949354448322,0.19884569619418174,15
dataset,physionet_mi,cardinal_dynamics,0.6855589030134629,0.4839008289879636,0.1710414210513786,15
dataset,physionet_mi,cardinal_dynamics_compact,0.679119364772433,0.4803370399828311,0.16580912449722915,15
dataset,physionet_mi,cardinal_dynamics_extended,0.6801462601981499,0.4820267988463596,0.1706951677848282,15
dataset,physionet_mi,cardinal_dynamics_sinc,0.68372299232081,0.4834083554131457,0.1592850200335185,15
dataset,physionet_mi,cardinal_dynamics_sinc_residual,0.6770497845516537,0.4780006606782041,0.15447114525999062,15
dataset,physionet_mi,cardinal_dynamics_sinc_extended,0.6808213458888638,0.48159985758758106,0.15932002141151896,15
dataset,physionet_mi,eegnet,0.6841816546958914,0.49144616067502195,0.0751555169757011,15
dataset,physionet_mi,shallow,0.9306040163138696,0.5943282636761101,0.2590644757001979,15
dataset,physionet_mi,deep4,0.7522731189618839,0.5321809189209733,0.14078200278458772,15
dataset,physionet_mi,eegconformer,0.9298380291384839,0.5384741118273905,0.18208021820817952,15
dataset,physionet_mi,eegconformer_compact,0.8854219046497087,0.5309732860073284,0.17787756171246122,15
dataset,physionet_mi,atcnet,0.6966123065196862,0.4882341914029177,0.1228357487450902,15
dataset,physionet_mi,atcnet_aggressive_pool,0.6994904542670015,0.4957427201782206,0.1279080400103895,15
dataset,physionet_mi,fbcnet,1.209926715538716,0.675038100315725,0.3132500673174367,15
dataset,physionet_mi,cardinal_fbc,1.2093317011493239,0.6747117394110405,0.31286908278739994,15
dataset,physionet_mi,cardinal_fbc_extended,1.20649440683726,0.6739930117733168,0.3119396677772695,15
dataset,physionet_mi,cardinal_fbc_corr,1.1557609685270105,0.6543633013491892,0.3050646330348749,15
dataset,physionet_mi,cardinal_fbc_corr_extended,1.1355091304628193,0.6512008131904943,0.30187792791751183,15
dataset,physionet_mi,cardinal_fbc_compactdyn,1.2839088611666472,0.6910480162235882,0.32701394330817485,15
dataset,physionet_mi,cardinal_fbc_compactdyn_extended,1.3081158824399177,0.6972934633074073,0.3333505164841076,15
dataset,physionet_mi,cardinal_fbc_compactdyn_scale010,1.2088881106985434,0.6776028877870262,0.31522032916791154,15
dataset,physionet_mi,cardinal_fbc_compactdyn_scale010_extended,1.2094694870754121,0.6778975787754016,0.3161629891640856,15
